,class,Normalized_VI_Area,Normalized_Pure_GaborArea,Normalized_Unknown_Area,VegetationIndex,Patch_Area
0,bad,0.6440296054676017,0.11852966147135438,0.23744073306104393,MSAVI,65434
1,best,0.5946403754666271,0.07975484550531121,0.32560477902806173,MSAVI,65536
2,good,0.6523146455110539,0.09087529970586622,0.2568100547830799,MSAVI,65536
3,medium,0.6236188725711578,0.06853738392181687,0.30784374350702537,MSAVI,65536
4,worst,0.5834657566733955,0.21972659458223953,0.19680764874436493,MSAVI,65395
