class,VI_Area,Pure_GaborArea,AreaSum,Unknown_Area,Normalized_VI_Area,Normalized_Pure_GaborArea,Normalized_Unknown_Area
bad,40679.09225280326,5682.222222222223,46361.31447502549,19173.23394495413,0.6207245272392758,0.08670570278739145,0.2925697699733326
best,41600.86544535692,1880.1339229311434,43480.99936828806,22053.819962097285,0.6347888581249403,0.028689101573336675,0.33652204030172295
good,44529.73682008368,3734.5376569037658,48264.27447698745,17270.38158995816,0.679480297963216,0.056985802271936725,0.2635338997648472
medium,46517.23571771484,3065.642342774844,49582.87806048968,15951.607777244359,0.7098075958646195,0.04677899352564218,0.24341341060973817
worst,48843.38343415542,6125.019078641229,54968.40251279665,10566.50721265705,0.7453023175119963,0.09346203601718181,0.1612356464708218
