,patch_number,VegetationIndex,Patch_Area,VI_Area,Pure_GaborArea,AreaSum,Unknown_Area,class,Normalized_VI_Area,Normalized_Pure_GaborArea,Normalized_Unknown_Area
40,1024_1280_3328_3584,MSAVI,65536,37228,14895.0,52123.0,13413.0,best,0.56805419921875,0.2272796630859375,0.2046661376953125
41,1024_1280_3584_3840,MSAVI,65536,35846,12771.0,48617.0,16919.0,best,0.546966552734375,0.1948699951171875,0.2581634521484375
42,1024_1280_3840_4096,MSAVI,65536,34362,11544.0,45906.0,19630.0,best,0.524322509765625,0.1761474609375,0.299530029296875
43,1024_1280_4096_4352,MSAVI,65536,35478,7194.0,42672.0,22864.0,best,0.541351318359375,0.109771728515625,0.348876953125
44,1024_1280_4352_4608,MSAVI,65536,38610,11462.0,50072.0,15464.0,best,0.589141845703125,0.174896240234375,0.2359619140625
45,1024_1280_4608_4864,MSAVI,65536,35968,10838.0,46806.0,18730.0,best,0.548828125,0.165374755859375,0.285797119140625
46,1024_1280_4864_5120,MSAVI,65536,30253,9288.0,39541.0,25995.0,best,0.4616241455078125,0.1417236328125,0.3966522216796875
47,1024_1280_5120_5376,MSAVI,65536,31974,9439.0,41413.0,24123.0,best,0.487884521484375,0.1440277099609375,0.3680877685546875
48,1024_1280_5376_5632,MSAVI,65536,42437,9765.0,52202.0,13334.0,best,0.6475372314453125,0.1490020751953125,0.203460693359375
49,1024_1280_5632_5888,MSAVI,65536,40590,9382.0,49972.0,15564.0,best,0.619354248046875,0.143157958984375,0.23748779296875
50,1024_1280_5888_6144,MSAVI,65536,34439,14883.0,49322.0,16214.0,best,0.5254974365234375,0.2270965576171875,0.247406005859375
51,1024_1280_6144_6400,MSAVI,65536,36310,10733.0,47043.0,18493.0,best,0.554046630859375,0.1637725830078125,0.2821807861328125
52,1024_1280_6400_6656,MSAVI,65536,35706,12523.0,48229.0,17307.0,best,0.544830322265625,0.1910858154296875,0.2640838623046875
53,1024_1280_6656_6912,MSAVI,65536,34680,9106.0,43786.0,21750.0,best,0.5291748046875,0.138946533203125,0.331878662109375
54,1280_1536_2048_2304,MSAVI,65536,33662,17692.0,51354.0,14182.0,best,0.513641357421875,0.26995849609375,0.216400146484375
55,1280_1536_2304_2560,MSAVI,65536,36150,9823.0,45973.0,19563.0,best,0.551605224609375,0.1498870849609375,0.2985076904296875
56,1280_1536_2560_2816,MSAVI,65536,37299,7367.0,44666.0,20870.0,best,0.5691375732421875,0.1124114990234375,0.318450927734375
57,1280_1536_2816_3072,MSAVI,65536,36609,10240.0,46849.0,18687.0,best,0.5586090087890625,0.15625,0.2851409912109375
58,1280_1536_3072_3328,MSAVI,65536,36763,4141.0,40904.0,24632.0,best,0.5609588623046875,0.0631866455078125,0.3758544921875
59,1280_1536_3328_3584,MSAVI,65536,34584,11789.0,46373.0,19163.0,best,0.5277099609375,0.1798858642578125,0.2924041748046875
60,1280_1536_3584_3840,MSAVI,65536,36486,12449.0,48935.0,16601.0,best,0.556732177734375,0.1899566650390625,0.2533111572265625
61,1280_1536_3840_4096,MSAVI,65536,34353,9810.0,44163.0,21373.0,best,0.5241851806640625,0.149688720703125,0.3261260986328125
62,1280_1536_4096_4352,MSAVI,65536,31285,10874.0,42159.0,23377.0,best,0.4773712158203125,0.165924072265625,0.3567047119140625
63,1280_1536_4352_4608,MSAVI,65536,30979,17461.0,48440.0,17096.0,best,0.4727020263671875,0.2664337158203125,0.2608642578125
64,1280_1536_4608_4864,MSAVI,65536,34563,12388.0,46951.0,18585.0,best,0.5273895263671875,0.18902587890625,0.2835845947265625
65,1280_1536_4864_5120,MSAVI,65536,34678,11007.0,45685.0,19851.0,best,0.529144287109375,0.1679534912109375,0.3029022216796875
66,1280_1536_5120_5376,MSAVI,65536,31735,16613.0,48348.0,17188.0,best,0.4842376708984375,0.2534942626953125,0.26226806640625
67,1280_1536_5376_5632,MSAVI,65536,32531,27778.0,60309.0,5227.0,best,0.4963836669921875,0.423858642578125,0.0797576904296875
68,1280_1536_5632_5888,MSAVI,65536,33166,16347.0,49513.0,16023.0,best,0.506072998046875,0.2494354248046875,0.2444915771484375
69,1280_1536_5888_6144,MSAVI,65536,41900,9062.0,50962.0,14574.0,best,0.63934326171875,0.138275146484375,0.222381591796875
70,1280_1536_6144_6400,MSAVI,65536,34737,7882.0,42619.0,22917.0,best,0.5300445556640625,0.120269775390625,0.3496856689453125
71,1280_1536_6400_6656,MSAVI,65536,32752,14272.0,47024.0,18512.0,best,0.499755859375,0.2177734375,0.282470703125
72,1280_1536_6656_6912,MSAVI,65536,33899,9719.0,43618.0,21918.0,best,0.5172576904296875,0.1483001708984375,0.334442138671875
73,1280_1536_6912_7168,MSAVI,65536,36354,10238.0,46592.0,18944.0,best,0.554718017578125,0.156219482421875,0.2890625
74,1280_1536_7168_7424,MSAVI,65536,39696,5511.0,45207.0,20329.0,best,0.605712890625,0.0840911865234375,0.3101959228515625
75,1280_1536_7424_7680,MSAVI,65536,46671,7940.0,54611.0,10925.0,best,0.7121429443359375,0.12115478515625,0.1667022705078125
76,1536_1792_2048_2304,MSAVI,65536,34626,18625.0,53251.0,12285.0,best,0.528350830078125,0.2841949462890625,0.1874542236328125
77,1536_1792_2304_2560,MSAVI,65536,34505,18016.0,52521.0,13015.0,best,0.5265045166015625,0.27490234375,0.1985931396484375
78,1536_1792_2560_2816,MSAVI,65536,34530,16646.0,51176.0,14360.0,best,0.526885986328125,0.253997802734375,0.2191162109375
79,1536_1792_2816_3072,MSAVI,65536,35952,8032.0,43984.0,21552.0,best,0.548583984375,0.12255859375,0.328857421875
80,1536_1792_3072_3328,MSAVI,65536,36762,5132.0,41894.0,23642.0,best,0.560943603515625,0.07830810546875,0.360748291015625
81,1536_1792_3328_3584,MSAVI,65536,40984,7302.0,48286.0,17250.0,best,0.6253662109375,0.111419677734375,0.263214111328125
82,1536_1792_3584_3840,MSAVI,65536,38040,11273.0,49313.0,16223.0,best,0.5804443359375,0.1720123291015625,0.2475433349609375
83,1536_1792_3840_4096,MSAVI,65536,31220,12084.0,43304.0,22232.0,best,0.47637939453125,0.18438720703125,0.3392333984375
84,1536_1792_4096_4352,MSAVI,65536,36370,11299.0,47669.0,17867.0,best,0.554962158203125,0.1724090576171875,0.2726287841796875
85,1536_1792_4352_4608,MSAVI,65536,37777,15839.0,53616.0,11920.0,best,0.5764312744140625,0.2416839599609375,0.181884765625
86,1536_1792_4608_4864,MSAVI,65536,34730,9190.0,43920.0,21616.0,best,0.529937744140625,0.140228271484375,0.329833984375
87,1536_1792_4864_5120,MSAVI,65536,37840,8502.0,46342.0,19194.0,best,0.577392578125,0.129730224609375,0.292877197265625
88,1536_1792_5120_5376,MSAVI,65536,37857,10376.0,48233.0,17303.0,best,0.5776519775390625,0.1583251953125,0.2640228271484375
89,1536_1792_5376_5632,MSAVI,65536,35328,14041.0,49369.0,16167.0,best,0.5390625,0.2142486572265625,0.2466888427734375
90,1536_1792_5632_5888,MSAVI,65536,33778,7430.0,41208.0,24328.0,best,0.515411376953125,0.113372802734375,0.3712158203125
91,1536_1792_5888_6144,MSAVI,65536,33189,6750.0,39939.0,25597.0,best,0.5064239501953125,0.102996826171875,0.3905792236328125
92,1536_1792_6144_6400,MSAVI,65536,36511,8539.0,45050.0,20486.0,best,0.5571136474609375,0.1302947998046875,0.312591552734375
93,1536_1792_6400_6656,MSAVI,65536,36192,8500.0,44692.0,20844.0,best,0.55224609375,0.12969970703125,0.31805419921875
94,1536_1792_6656_6912,MSAVI,65536,33898,8608.0,42506.0,23030.0,best,0.517242431640625,0.13134765625,0.351409912109375
95,1536_1792_6912_7168,MSAVI,65536,35718,5761.0,41479.0,24057.0,best,0.545013427734375,0.0879058837890625,0.3670806884765625
96,1536_1792_7168_7424,MSAVI,65536,38609,4545.0,43154.0,22382.0,best,0.5891265869140625,0.0693511962890625,0.341522216796875
97,1536_1792_7424_7680,MSAVI,65536,39476,7224.0,46700.0,18836.0,best,0.60235595703125,0.1102294921875,0.28741455078125
98,1536_1792_7680_7936,MSAVI,65536,41277,7759.0,49036.0,16500.0,best,0.6298370361328125,0.1183929443359375,0.25177001953125
99,1536_1792_7936_8192,MSAVI,65536,41400,3356.0,44756.0,20780.0,best,0.6317138671875,0.05120849609375,0.31707763671875
100,1536_1792_8192_8448,MSAVI,65536,39397,5537.0,44934.0,20602.0,best,0.6011505126953125,0.0844879150390625,0.314361572265625
101,1792_2048_1792_2048,MSAVI,65536,41718,10802.0,52520.0,13016.0,best,0.636566162109375,0.164825439453125,0.1986083984375
102,1792_2048_2048_2304,MSAVI,65536,37407,8318.0,45725.0,19811.0,best,0.5707855224609375,0.126922607421875,0.3022918701171875
103,1792_2048_2304_2560,MSAVI,65536,38184,9800.0,47984.0,17552.0,best,0.5826416015625,0.1495361328125,0.267822265625
104,1792_2048_2560_2816,MSAVI,65536,34166,9603.0,43769.0,21767.0,best,0.521331787109375,0.1465301513671875,0.3321380615234375
105,1792_2048_2816_3072,MSAVI,65536,34743,9250.0,43993.0,21543.0,best,0.5301361083984375,0.141143798828125,0.3287200927734375
106,1792_2048_3072_3328,MSAVI,65536,39629,5883.0,45512.0,20024.0,best,0.6046905517578125,0.0897674560546875,0.3055419921875
107,1792_2048_3328_3584,MSAVI,65536,41155,11960.0,53115.0,12421.0,best,0.6279754638671875,0.1824951171875,0.1895294189453125
108,1792_2048_3584_3840,MSAVI,65536,36642,4173.0,40815.0,24721.0,best,0.559112548828125,0.0636749267578125,0.3772125244140625
109,1792_2048_3840_4096,MSAVI,65536,35963,4751.0,40714.0,24822.0,best,0.5487518310546875,0.0724945068359375,0.378753662109375
110,1792_2048_4096_4352,MSAVI,65536,39558,3100.0,42658.0,22878.0,best,0.603607177734375,0.04730224609375,0.349090576171875
111,1792_2048_4352_4608,MSAVI,65536,36186,6842.0,43028.0,22508.0,best,0.552154541015625,0.104400634765625,0.34344482421875
112,1792_2048_4608_4864,MSAVI,65536,34107,9653.0,43760.0,21776.0,best,0.5204315185546875,0.1472930908203125,0.332275390625
113,1792_2048_4864_5120,MSAVI,65536,32156,6557.0,38713.0,26823.0,best,0.49066162109375,0.1000518798828125,0.4092864990234375
114,1792_2048_5120_5376,MSAVI,65536,38042,9496.0,47538.0,17998.0,best,0.580474853515625,0.1448974609375,0.274627685546875
115,1792_2048_5376_5632,MSAVI,65536,39416,6235.0,45651.0,19885.0,best,0.6014404296875,0.0951385498046875,0.3034210205078125
116,1792_2048_5632_5888,MSAVI,65536,33235,13736.0,46971.0,18565.0,best,0.5071258544921875,0.2095947265625,0.2832794189453125
117,1792_2048_5888_6144,MSAVI,65536,35715,7119.0,42834.0,22702.0,best,0.5449676513671875,0.1086273193359375,0.346405029296875
118,1792_2048_6144_6400,MSAVI,65536,29644,13563.0,43207.0,22329.0,best,0.45233154296875,0.2069549560546875,0.3407135009765625
119,1792_2048_6400_6656,MSAVI,65536,34274,13188.0,47462.0,18074.0,best,0.522979736328125,0.20123291015625,0.275787353515625
120,1792_2048_6656_6912,MSAVI,65536,32120,13862.0,45982.0,19554.0,best,0.4901123046875,0.211517333984375,0.298370361328125
121,1792_2048_6912_7168,MSAVI,65536,34951,8689.0,43640.0,21896.0,best,0.5333099365234375,0.1325836181640625,0.3341064453125
122,1792_2048_7168_7424,MSAVI,65536,34624,10742.0,45366.0,20170.0,best,0.5283203125,0.163909912109375,0.307769775390625
123,1792_2048_7424_7680,MSAVI,65536,36748,8108.0,44856.0,20680.0,best,0.56072998046875,0.12371826171875,0.3155517578125
124,1792_2048_7680_7936,MSAVI,65536,40769,7544.0,48313.0,17223.0,best,0.6220855712890625,0.1151123046875,0.2628021240234375
125,1792_2048_7936_8192,MSAVI,65536,39939,14472.0,54411.0,11125.0,best,0.6094207763671875,0.2208251953125,0.1697540283203125
126,1792_2048_8192_8448,MSAVI,65536,38205,6288.0,44493.0,21043.0,best,0.5829620361328125,0.095947265625,0.3210906982421875
127,2048_2304_1792_2048,MSAVI,65536,37962,7005.0,44967.0,20569.0,best,0.579254150390625,0.1068878173828125,0.3138580322265625
128,2048_2304_2048_2304,MSAVI,65536,38076,7989.0,46065.0,19471.0,best,0.58099365234375,0.1219024658203125,0.2971038818359375
129,2048_2304_2304_2560,MSAVI,65536,38972,6828.0,45800.0,19736.0,best,0.59466552734375,0.10418701171875,0.3011474609375
130,2048_2304_2560_2816,MSAVI,65536,35717,4348.0,40065.0,25471.0,best,0.5449981689453125,0.06634521484375,0.3886566162109375
131,2048_2304_2816_3072,MSAVI,65536,34397,4826.0,39223.0,26313.0,best,0.5248565673828125,0.073638916015625,0.4015045166015625
132,2048_2304_3072_3328,MSAVI,65536,37771,7802.0,45573.0,19963.0,best,0.5763397216796875,0.119049072265625,0.3046112060546875
133,2048_2304_3328_3584,MSAVI,65536,40789,12822.0,53611.0,11925.0,best,0.6223907470703125,0.195648193359375,0.1819610595703125
134,2048_2304_3584_3840,MSAVI,65536,37640,10539.0,48179.0,17357.0,best,0.5743408203125,0.1608123779296875,0.2648468017578125
135,2048_2304_3840_4096,MSAVI,65536,37949,12370.0,50319.0,15217.0,best,0.5790557861328125,0.188751220703125,0.2321929931640625
136,2048_2304_4096_4352,MSAVI,65536,37829,18833.0,56662.0,8874.0,best,0.5772247314453125,0.2873687744140625,0.135406494140625
137,2048_2304_4352_4608,MSAVI,65536,33453,22226.0,55679.0,9857.0,best,0.5104522705078125,0.339141845703125,0.1504058837890625
138,2048_2304_4608_4864,MSAVI,65536,32102,7936.0,40038.0,25498.0,best,0.489837646484375,0.12109375,0.389068603515625
139,2048_2304_4864_5120,MSAVI,65536,32069,10356.0,42425.0,23111.0,best,0.4893341064453125,0.15802001953125,0.3526458740234375
140,2048_2304_5120_5376,MSAVI,65536,36977,7532.0,44509.0,21027.0,best,0.5642242431640625,0.11492919921875,0.3208465576171875
141,2048_2304_5376_5632,MSAVI,65536,37825,5784.0,43609.0,21927.0,best,0.5771636962890625,0.0882568359375,0.3345794677734375
142,2048_2304_5632_5888,MSAVI,65536,34380,8178.0,42558.0,22978.0,best,0.52459716796875,0.124786376953125,0.350616455078125
143,2048_2304_5888_6144,MSAVI,65536,35965,10299.0,46264.0,19272.0,best,0.5487823486328125,0.1571502685546875,0.2940673828125
144,2048_2304_6144_6400,MSAVI,65536,40179,11706.0,51885.0,13651.0,best,0.6130828857421875,0.178619384765625,0.2082977294921875
145,2048_2304_6400_6656,MSAVI,65536,31049,8615.0,39664.0,25872.0,best,0.4737701416015625,0.1314544677734375,0.394775390625
146,2048_2304_6656_6912,MSAVI,65536,30650,19290.0,49940.0,15596.0,best,0.467681884765625,0.294342041015625,0.23797607421875
147,2048_2304_6912_7168,MSAVI,65536,34911,7208.0,42119.0,23417.0,best,0.5326995849609375,0.1099853515625,0.3573150634765625
148,2048_2304_7168_7424,MSAVI,65536,41199,8654.0,49853.0,15683.0,best,0.6286468505859375,0.132049560546875,0.2393035888671875
149,2048_2304_7424_7680,MSAVI,65536,32738,13100.0,45838.0,19698.0,best,0.499542236328125,0.19989013671875,0.300567626953125
150,2048_2304_7680_7936,MSAVI,65536,35973,15246.0,51219.0,14317.0,best,0.5489044189453125,0.232635498046875,0.2184600830078125
151,2048_2304_7936_8192,MSAVI,65536,44234,11100.0,55334.0,10202.0,best,0.674957275390625,0.16937255859375,0.155670166015625
152,2048_2304_8192_8448,MSAVI,65536,40751,14953.0,55704.0,9832.0,best,0.6218109130859375,0.2281646728515625,0.1500244140625
153,2048_2304_8448_8704,MSAVI,65536,37113,4441.0,41554.0,23982.0,best,0.5662994384765625,0.0677642822265625,0.365936279296875
154,2304_2560_1792_2048,MSAVI,65536,38645,6151.0,44796.0,20740.0,best,0.5896759033203125,0.0938568115234375,0.31646728515625
155,2304_2560_2048_2304,MSAVI,65536,38077,9327.0,47404.0,18132.0,best,0.5810089111328125,0.1423187255859375,0.27667236328125
156,2304_2560_2304_2560,MSAVI,65536,37396,7738.0,45134.0,20402.0,best,0.57061767578125,0.118072509765625,0.311309814453125
157,2304_2560_2560_2816,MSAVI,65536,38720,8255.0,46975.0,18561.0,best,0.5908203125,0.1259613037109375,0.2832183837890625
158,2304_2560_2816_3072,MSAVI,65536,40224,10132.0,50356.0,15180.0,best,0.61376953125,0.15460205078125,0.23162841796875
159,2304_2560_3072_3328,MSAVI,65536,39520,8133.0,47653.0,17883.0,best,0.60302734375,0.1240997314453125,0.2728729248046875
