,Unnamed: 0,patch,start_vert,end_vert,start_horiz,end_horiz,Patch_Area,VegetationIndex,VI_Thresh,VI_Area,Pure_GaborArea,Pure_GaborThresh,LocalHistEq_GaborArea,LocalHistEq_GaborThresh
0,0,patch_0_0,0,256,0,256,65536,MSAVI,0.0,65536,,,,
1,0,patch_0_0,0,256,0,256,65536,NDVI,0.0,0,0.0,0.0,0.0,0.0098080423860209
2,0,patch_0_1,0,256,256,512,65536,MSAVI,0.0,65536,,,,
3,0,patch_0_1,0,256,256,512,65536,NDVI,0.0,0,0.0,0.0,0.0,0.0098080423860209
4,0,patch_0_2,0,256,512,768,65536,MSAVI,0.0,65536,,,,
5,0,patch_0_2,0,256,512,768,65536,NDVI,0.0,0,0.0,0.0,0.0,0.0098080423860209
6,0,patch_0_3,0,256,768,1024,65536,MSAVI,0.0,65536,,,,
7,0,patch_0_3,0,256,768,1024,65536,NDVI,0.0,0,0.0,0.0,0.0,0.0098080423860209
8,0,patch_0_4,0,256,1024,1280,65536,MSAVI,0.0,65536,,,,
9,0,patch_0_4,0,256,1024,1280,65536,NDVI,0.0,0,0.0,0.0,0.0,0.0098080423860209
10,0,patch_0_5,0,256,1280,1536,65536,MSAVI,0.0,65536,,,,
11,0,patch_0_5,0,256,1280,1536,65536,NDVI,0.0,0,0.0,0.0,0.0,0.0098080423860209
12,0,patch_0_6,0,256,1536,1792,65536,MSAVI,0.0,65536,,,,
13,0,patch_0_6,0,256,1536,1792,65536,NDVI,0.0,0,0.0,0.0,0.0,0.0098080423860209
14,0,patch_0_7,0,256,1792,2048,65536,MSAVI,0.0,65536,,,,
15,0,patch_0_7,0,256,1792,2048,65536,NDVI,0.0,0,0.0,0.0,0.0,0.0098080423860209
16,0,patch_0_8,0,256,2048,2304,65536,MSAVI,0.0,65536,,,,
17,0,patch_0_8,0,256,2048,2304,65536,NDVI,0.0,0,0.0,0.0,0.0,0.0098080423860209
18,0,patch_0_9,0,256,2304,2560,65536,MSAVI,0.0,65536,,,,
19,0,patch_0_9,0,256,2304,2560,65536,NDVI,0.0,0,0.0,0.0,0.0,0.0098080423860209
20,0,patch_0_10,0,256,2560,2816,65536,MSAVI,0.0,65536,,,,
21,0,patch_0_10,0,256,2560,2816,65536,NDVI,0.0,0,0.0,0.0,0.0,0.0098080423860209
22,0,patch_0_11,0,256,2816,3072,65536,MSAVI,0.0,65536,,,,
23,0,patch_0_11,0,256,2816,3072,65536,NDVI,0.0,0,0.0,0.0,0.0,0.0098080423860209
24,0,patch_0_12,0,256,3072,3328,65536,MSAVI,0.0,65536,,,,
25,0,patch_0_12,0,256,3072,3328,65536,NDVI,0.0,0,0.0,0.0,0.0,0.0098080423860209
26,0,patch_0_13,0,256,3328,3584,65536,MSAVI,0.0,65536,,,,
27,0,patch_0_13,0,256,3328,3584,65536,NDVI,0.0,0,0.0,0.0,0.0,0.0098080423860209
28,0,patch_0_14,0,256,3584,3840,65536,MSAVI,0.0,65536,,,,
29,0,patch_0_14,0,256,3584,3840,65536,NDVI,0.0,0,0.0,0.0,0.0,0.0098080423860209
30,0,patch_0_15,0,256,3840,4096,65536,MSAVI,0.0,65536,,,,
31,0,patch_0_15,0,256,3840,4096,65536,NDVI,0.0,0,0.0,0.0,0.0,0.0098080423860209
32,0,patch_0_16,0,256,4096,4352,65536,MSAVI,0.0,65536,,,,
33,0,patch_0_16,0,256,4096,4352,65536,NDVI,0.0,0,0.0,0.0,0.0,0.0098080423860209
34,0,patch_0_17,0,256,4352,4608,65536,MSAVI,0.0,65536,,,,
35,0,patch_0_17,0,256,4352,4608,65536,NDVI,0.0,0,0.0,0.0,0.0,0.0098080423860209
36,0,patch_0_18,0,256,4608,4864,65536,MSAVI,0.0,65536,,,,
37,0,patch_0_18,0,256,4608,4864,65536,NDVI,0.0,0,0.0,0.0,0.0,0.0098080423860209
38,0,patch_0_19,0,256,4864,5120,65536,MSAVI,0.0,65536,,,,
39,0,patch_0_19,0,256,4864,5120,65536,NDVI,0.0,0,0.0,0.0,0.0,0.0098080423860209
40,0,patch_0_20,0,256,5120,5376,65536,MSAVI,0.0,65536,,,,
41,0,patch_0_20,0,256,5120,5376,65536,NDVI,0.0,0,0.0,0.0,0.0,0.0098080423860209
42,0,patch_0_21,0,256,5376,5632,65536,MSAVI,0.0,65536,,,,
43,0,patch_0_21,0,256,5376,5632,65536,NDVI,0.0,0,0.0,0.0,0.0,0.0098080423860209
