,patch_number,VegetationIndex,Patch_Area,VI_Area,Pure_GaborArea,AreaSum,Unknown_Area,class,Normalized_VI_Area,Normalized_Pure_GaborArea,Normalized_Unknown_Area
45,1280_1536_2816_3072,MSAVI,65536,36578,4893.0,41471.0,24065.0,best,0.558135986328125,0.0746612548828125,0.3672027587890625
46,1280_1536_3072_3328,MSAVI,65536,39359,4776.0,44135.0,21401.0,best,0.6005706787109375,0.0728759765625,0.3265533447265625
47,1280_1536_3328_3584,MSAVI,65536,35774,7605.0,43379.0,22157.0,best,0.545867919921875,0.1160430908203125,0.3380889892578125
48,1280_1536_3584_3840,MSAVI,65536,35260,7491.0,42751.0,22785.0,best,0.53802490234375,0.1143035888671875,0.3476715087890625
49,1280_1536_3840_4096,MSAVI,65536,38414,4039.0,42453.0,23083.0,best,0.586151123046875,0.0616302490234375,0.3522186279296875
50,1280_1536_4096_4352,MSAVI,65536,37022,4999.0,42021.0,23515.0,best,0.564910888671875,0.0762786865234375,0.3588104248046875
51,1280_1536_4352_4608,MSAVI,65536,37538,7166.0,44704.0,20832.0,best,0.572784423828125,0.109344482421875,0.31787109375
52,1280_1536_4608_4864,MSAVI,65536,36201,7893.0,44094.0,21442.0,best,0.5523834228515625,0.1204376220703125,0.327178955078125
53,1280_1536_4864_5120,MSAVI,65536,34435,6210.0,40645.0,24891.0,best,0.5254364013671875,0.094757080078125,0.3798065185546875
54,1280_1536_5120_5376,MSAVI,65536,36773,7677.0,44450.0,21086.0,best,0.5611114501953125,0.1171417236328125,0.321746826171875
55,1280_1536_5376_5632,MSAVI,65536,36297,8570.0,44867.0,20669.0,best,0.5538482666015625,0.130767822265625,0.3153839111328125
56,1280_1536_5632_5888,MSAVI,65536,39241,7458.0,46699.0,18837.0,best,0.5987701416015625,0.113800048828125,0.2874298095703125
57,1280_1536_5888_6144,MSAVI,65536,36085,6710.0,42795.0,22741.0,best,0.5506134033203125,0.102386474609375,0.3470001220703125
58,1280_1536_6144_6400,MSAVI,65536,35762,8076.0,43838.0,21698.0,best,0.545684814453125,0.12322998046875,0.331085205078125
59,1280_1536_6400_6656,MSAVI,65536,36111,5773.0,41884.0,23652.0,best,0.5510101318359375,0.0880889892578125,0.36090087890625
60,1280_1536_6656_6912,MSAVI,65536,38330,5866.0,44196.0,21340.0,best,0.584869384765625,0.089508056640625,0.32562255859375
61,1280_1536_6912_7168,MSAVI,65534,39770,7102.0,46872.0,18662.0,best,0.6068605609302041,0.10837122714926603,0.2847682119205298
62,1536_1792_1792_2048,MSAVI,65518,36451,6712.0,43163.0,22355.0,best,0.5563509264629567,0.1024451295827101,0.3412039439543332
63,1536_1792_2048_2304,MSAVI,65536,33956,8248.0,42204.0,23332.0,best,0.51812744140625,0.1258544921875,0.35601806640625
64,1536_1792_2304_2560,MSAVI,65536,35451,9332.0,44783.0,20753.0,best,0.5409393310546875,0.14239501953125,0.3166656494140625
65,1536_1792_2560_2816,MSAVI,65536,37180,5998.0,43178.0,22358.0,best,0.56732177734375,0.091522216796875,0.341156005859375
66,1536_1792_2816_3072,MSAVI,65536,36904,7247.0,44151.0,21385.0,best,0.5631103515625,0.1105804443359375,0.3263092041015625
67,1536_1792_3072_3328,MSAVI,65536,36108,4433.0,40541.0,24995.0,best,0.55096435546875,0.0676422119140625,0.3813934326171875
68,1536_1792_3328_3584,MSAVI,65536,35670,6531.0,42201.0,23335.0,best,0.544281005859375,0.0996551513671875,0.3560638427734375
69,1536_1792_3584_3840,MSAVI,65536,37677,2736.0,40413.0,25123.0,best,0.5749053955078125,0.041748046875,0.3833465576171875
70,1536_1792_3840_4096,MSAVI,65536,35451,6142.0,41593.0,23943.0,best,0.5409393310546875,0.093719482421875,0.3653411865234375
71,1536_1792_4096_4352,MSAVI,65536,35160,13420.0,48580.0,16956.0,best,0.5364990234375,0.20477294921875,0.25872802734375
72,1536_1792_4352_4608,MSAVI,65536,35138,9621.0,44759.0,20777.0,best,0.536163330078125,0.1468048095703125,0.3170318603515625
73,1536_1792_4608_4864,MSAVI,65536,35780,6909.0,42689.0,22847.0,best,0.54595947265625,0.1054229736328125,0.3486175537109375
74,1536_1792_4864_5120,MSAVI,65536,36330,5281.0,41611.0,23925.0,best,0.554351806640625,0.0805816650390625,0.3650665283203125
75,1536_1792_5120_5376,MSAVI,65536,35318,8436.0,43754.0,21782.0,best,0.538909912109375,0.12872314453125,0.332366943359375
76,1536_1792_5376_5632,MSAVI,65536,34140,12974.0,47114.0,18422.0,best,0.52093505859375,0.197967529296875,0.281097412109375
77,1536_1792_5632_5888,MSAVI,65536,40984,4661.0,45645.0,19891.0,best,0.6253662109375,0.0711212158203125,0.3035125732421875
78,1536_1792_5888_6144,MSAVI,65536,39732,5403.0,45135.0,20401.0,best,0.60626220703125,0.0824432373046875,0.3112945556640625
