class,VI_Area,Pure_GaborArea,AreaSum,Unknown_Area,Normalized_VI_Area,Normalized_Pure_GaborArea,Normalized_Unknown_Area,Month
bad,30866.72599296129,18117.095525389643,48983.82151835093,16550.88084464555,0.47099710201648065,0.2764501640087338,0.25255273397478556,September
best,38294.52308707124,6998.6721635883905,45293.19525065963,20241.69986807388,0.5843369932706494,0.10679306823869578,0.30886993849065486,September
good,40218.26447288239,7183.151736745886,47401.416209628274,18133.291895185863,0.6136914192596986,0.10960814981359927,0.27670043092670205,September
medium,45559.9006147541,3808.7284836065573,49368.62909836065,16165.73206967213,0.6951995408328504,0.058117585639517355,0.24668287352763227,September
worst,43483.91709577755,6561.937693099897,50045.85478887745,15488.712667353244,0.6635223245819755,0.10012920926212537,0.23634846615589916,September
