patch_number,VegetationIndex,Patch_Area,VI_Area,Pure_GaborArea,AreaSum,Unknown_Area,class,Normalized_VI_Area,Normalized_Pure_GaborArea,Normalized_Unknown_Area
768_1024_4352_4608,MSAVI,65535,40068,7947.0,48015.0,17520.0,best,0.6113984893568323,0.12126344701304646,0.2673380636301213
768_1024_4608_4864,MSAVI,65535,41397,4800.0,46197.0,19338.0,best,0.6316777294575417,0.07324330510414283,0.2950789654383154
768_1024_4864_5120,MSAVI,65535,40535,10213.0,50748.0,14787.0,best,0.6185244525825895,0.15584039063096056,0.22563515678645
768_1024_5120_5376,MSAVI,65535,43062,8768.0,51830.0,13705.0,best,0.6570840009155413,0.13379110399023422,0.20912489509422447
768_1024_5376_5632,MSAVI,65535,41318,10107.0,51425.0,14110.0,best,0.6304722667277027,0.15422293430991074,0.21530479896238652
768_1024_5632_5888,MSAVI,65535,43445,12803.0,56248.0,9287.0,best,0.662928206301976,0.1953612573434043,0.14171053635461967
768_1024_5888_6144,MSAVI,65535,42671,7715.0,50386.0,15149.0,best,0.651117723353933,0.11772335393301289,0.2311589227130541
768_1024_6144_6400,MSAVI,65535,39253,5142.0,44395.0,21140.0,best,0.5989623865110246,0.078461890592813,0.3225757228961624
768_1024_6400_6656,MSAVI,65535,36205,14503.0,50708.0,14827.0,best,0.552452887769894,0.2213015945677882,0.22624551766231785
768_1024_6656_6912,MSAVI,65535,38424,7961.0,46385.0,19150.0,best,0.5863126573586633,0.12147707331960021,0.2922102693217365
768_1024_6912_7168,MSAVI,65535,33930,377.0,34307.0,31228.0,best,0.5177386129549096,0.005752651255054551,0.47650873579003583
768_1024_7680_7936,MSAVI,65535,33309,578.0,33887.0,31648.0,best,0.5082627603570611,0.008819714656290532,0.48291752498664836
768_1024_7936_8192,MSAVI,65535,30694,21848.0,52542.0,12993.0,best,0.46836041809719997,0.3333791103990234,0.1982604715037766
768_1024_8192_8448,MSAVI,65535,28449,310.0,28759.0,36776.0,best,0.4341039139391165,0.00473029678797589,0.5611657892729076
768_1024_8448_8704,MSAVI,65535,32333,15634.0,47967.0,17568.0,best,0.49336995498588543,0.23855954833295187,0.26807049668116273
768_1024_8704_8960,MSAVI,65535,34074,16181.0,50255.0,15280.0,best,0.5199359121080339,0.2469062333104448,0.23315785458152133
768_1024_8960_9216,MSAVI,65535,35153,223.0,35376.0,30159.0,best,0.5364003967345693,0.003402761882963302,0.46019684138246736
768_1024_9216_9472,MSAVI,65535,34861,0.0,34861.0,30674.0,best,0.531944762340734,0.0,0.46805523765926604
768_1024_9472_9728,MSAVI,65535,36628,0.0,36628.0,28907.0,best,0.5589074540321965,0.0,0.44109254596780345
768_1024_9728_9984,MSAVI,65535,34613,0.0,34613.0,30922.0,best,0.5281605249103533,0.0,0.47183947508964674
1024_1280_768_1024,MSAVI,65535,41267,8449.0,49716.0,15819.0,best,0.6296940566109712,0.12892347600518808,0.2413824673838407
1024_1280_1024_1280,MSAVI,65535,36302,846.0,37148.0,28387.0,best,0.5539330128938735,0.012909132524605172,0.43315785458152134
1024_1280_1280_1536,MSAVI,65535,37072,8426.0,45498.0,20037.0,best,0.5656824597543297,0.12857251850156404,0.3057450217441062
1024_1280_1536_1792,MSAVI,65535,38708,5073.0,43781.0,21754.0,best,0.5906462195773251,0.07740901808194095,0.33194476234073395
1024_1280_1792_2048,MSAVI,65535,39821,3767.0,43588.0,21947.0,best,0.6076295109483482,0.05748073548485542,0.33488975356679634
1024_1280_2048_2304,MSAVI,65535,38704,4366.0,43070.0,22465.0,best,0.5905851834897383,0.06662088960097658,0.3427939269092851
1024_1280_2304_2560,MSAVI,65535,38294,8029.0,46323.0,19212.0,best,0.5843289845120928,0.12251468680857557,0.29315632867933167
1024_1280_2560_2816,MSAVI,65535,39019,3379.0,42398.0,23137.0,best,0.5953917753871977,0.051560234988937206,0.35304798962386513
1024_1280_2816_3072,MSAVI,65535,38962,8864.0,47826.0,17709.0,best,0.594522011139086,0.13525597009231707,0.2702220187685969
1024_1280_3072_3328,MSAVI,65535,39615,5997.0,45612.0,19923.0,best,0.6044861524376287,0.09150835431448844,0.3040054932478828
1024_1280_3328_3584,MSAVI,65535,40031,3294.0,43325.0,22210.0,best,0.6108339055466545,0.050263218127718015,0.33890287632562754
1024_1280_3584_3840,MSAVI,65535,39583,8287.0,47870.0,17665.0,best,0.6039978637369344,0.12645151445792324,0.2695506218051423
1024_1280_3840_4096,MSAVI,65535,40842,4233.0,45075.0,20460.0,best,0.6232089723048753,0.06459143968871596,0.3121995880064088
1024_1280_4096_4352,MSAVI,65535,40159,6032.0,46191.0,19344.0,best,0.6127870603494316,0.09204242008087282,0.2951705195696956
1024_1280_4352_4608,MSAVI,65535,35039,1092.0,36131.0,29404.0,best,0.5346608682383459,0.016662851911192492,0.4486762798504616
1024_1280_4608_4864,MSAVI,65535,36896,9890.0,46786.0,18749.0,best,0.5629968719005112,0.1509117265583276,0.2860914015411612
1024_1280_4864_5120,MSAVI,65535,37509,10839.0,48348.0,17187.0,best,0.572350652323186,0.1653925383382925,0.2622568093385214
1024_1280_5120_5376,MSAVI,65535,39785,8517.0,48302.0,17233.0,best,0.6070801861600671,0.12996108949416343,0.26295872434576945
1024_1280_5376_5632,MSAVI,65535,41852,13794.0,55646.0,9889.0,best,0.6386205844205386,0.21048294804303044,0.1508964675364309
1024_1280_5632_5888,MSAVI,65535,39189,12484.0,51673.0,13862.0,best,0.5979858091096361,0.19049362935835812,0.2115205615320058
1024_1280_5888_6144,MSAVI,65535,45189,9111.0,54300.0,11235.0,best,0.6895399404898146,0.1390249485008011,0.1714351110093843
1024_1280_6144_6400,MSAVI,65535,45209,12032.0,57241.0,8294.0,best,0.6898451209277485,0.18359655146105136,0.12655832761120012
1024_1280_6400_6656,MSAVI,65535,43645,4987.0,48632.0,16903.0,best,0.6659800106813153,0.07609674219882505,0.25792324711985964
1024_1280_6656_6912,MSAVI,65535,40061,7684.0,47745.0,17790.0,best,0.6112916762035554,0.1172503242542153,0.2714579995422293
1024_1280_6912_7168,MSAVI,65535,36031,9528.0,45559.0,19976.0,best,0.5497978179598688,0.14538796063172352,0.30481422140840775
1024_1280_7168_7424,MSAVI,65535,37917,13414.0,51331.0,14204.0,best,0.5785763332570383,0.2046845197222858,0.21673914702067598
1024_1280_7424_7680,MSAVI,65535,39238,11836.0,51074.0,14461.0,best,0.5987335011825742,0.18060578316929884,0.22066071564812695
1024_1280_7680_7936,MSAVI,65535,37025,11392.0,48417.0,17118.0,best,0.564965285725185,0.17383077744716563,0.26120393682764936
1024_1280_7936_8192,MSAVI,65535,40941,7138.0,48079.0,17456.0,best,0.6247196154726482,0.10891889829861906,0.26636148622873274
1024_1280_8192_8448,MSAVI,65535,35846,7923.0,43769.0,21766.0,best,0.54697489890898,0.12089723048752575,0.3321278706034943
1024_1280_8448_8704,MSAVI,65535,35676,993.0,36669.0,28866.0,best,0.5443808651865415,0.015152208743419547,0.4404669260700389
1024_1280_8704_8960,MSAVI,65535,34771,798.0,35569.0,29966.0,best,0.5305714503700313,0.012176699473563745,0.45725185015640496
1024_1280_8960_9216,MSAVI,65535,29839,1187.0,31026.0,34509.0,best,0.4553139543755245,0.018112458991378654,0.5265735866330968
1024_1280_9216_9472,MSAVI,65535,35333,251.0,35584.0,29951.0,best,0.5391470206759746,0.0038300144960708017,0.4570229648279545
1024_1280_9472_9728,MSAVI,65535,36541,258.0,36799.0,28736.0,best,0.557579919127184,0.003936827649347677,0.43848325322346837
1024_1280_9728_9984,MSAVI,65535,33962,493.0,34455.0,31080.0,best,0.5182269016556039,0.007522697795071336,0.47425040054932477
1280_1536_768_1024,MSAVI,65535,39196,6876.0,46072.0,19463.0,best,0.5980926222629129,0.1049210345616846,0.29698634317540246
1280_1536_1024_1280,MSAVI,65535,39294,4539.0,43833.0,21702.0,best,0.5995880064087892,0.06926070038910506,0.33115129320210573
1280_1536_1280_1536,MSAVI,65535,38083,10362.0,48445.0,17090.0,best,0.5811093308918899,0.15811398489356832,0.26077668421454187
1280_1536_1536_1792,MSAVI,65535,37900,8117.0,46017.0,19518.0,best,0.5783169298847944,0.12385748073548486,0.29782558937972076
1280_1536_1792_2048,MSAVI,65535,36850,13477.0,50327.0,15208.0,best,0.5622949568932631,0.20564583810177767,0.2320592050049592
1280_1536_2048_2304,MSAVI,65535,40988,7378.0,48366.0,17169.0,best,0.6254367895017929,0.1125810635538262,0.2619821469443809
1280_1536_2304_2560,MSAVI,65535,38064,5871.0,43935.0,21600.0,best,0.5808194094758526,0.0895857175555047,0.3295948729686427
1280_1536_2560_2816,MSAVI,65535,42174,11616.0,53790.0,11745.0,best,0.6435339894712749,0.17724879835202564,0.17921721217669948
1280_1536_2816_3072,MSAVI,65535,39661,9950.0,49611.0,15924.0,best,0.6051880674448767,0.15182726787212938,0.24298466468299382
1280_1536_3072_3328,MSAVI,65535,37419,9726.0,47145.0,18390.0,best,0.5709773403524834,0.1484092469672694,0.2806134126802472
1280_1536_3328_3584,MSAVI,65535,38775,13550.0,52325.0,13210.0,best,0.5916685740444038,0.2067597467002365,0.20157167925535974
1280_1536_3584_3840,MSAVI,65535,37900,7841.0,45741.0,19794.0,best,0.5783169298847944,0.11964599069199665,0.30203707942320895
1280_1536_3840_4096,MSAVI,65535,37791,9574.0,47365.0,18170.0,best,0.5766536964980544,0.14608987563897155,0.277256427862974
1280_1536_4096_4352,MSAVI,65535,37044,12098.0,49142.0,16393.0,best,0.5652552071412222,0.18460364690623332,0.25014114595254444
1280_1536_4352_4608,MSAVI,65535,42009,16500.0,58509.0,7026.0,best,0.64101625085832,0.25177386129549095,0.10720988784618905
1280_1536_4608_4864,MSAVI,65535,35435,425.0,35860.0,29675.0,best,0.5407034409094377,0.00648508430609598,0.4528114747844663
1280_1536_4864_5120,MSAVI,65535,40690,9864.0,50554.0,14981.0,best,0.6208896009765774,0.1505149919890135,0.2285954070344091
1280_1536_5120_5376,MSAVI,65535,41922,6866.0,48788.0,16747.0,best,0.6396887159533073,0.10476844434271763,0.25554283970397496
1280_1536_5376_5632,MSAVI,65535,40626,14510.0,55136.0,10399.0,best,0.6199130235751888,0.22140840772106507,0.15867856870374608
1280_1536_5632_5888,MSAVI,65535,39199,11930.0,51129.0,14406.0,best,0.598138399328603,0.1820401312275883,0.21982146944380865
1280_1536_5888_6144,MSAVI,65535,43217,11377.0,54594.0,10941.0,best,0.6594491493095292,0.17360189211871518,0.16694895857175554
1280_1536_6144_6400,MSAVI,65535,40829,7931.0,48760.0,16775.0,best,0.6230106050202182,0.12101930266269932,0.25597009231708245
1280_1536_6400_6656,MSAVI,65535,40495,10033.0,50528.0,15007.0,best,0.6179140917067216,0.1530937666895552,0.2289921416037232
